antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Home_1', 'Home Win'})","frozenset({'Home_Venue', 'Away_0'})",0.1107167345621748,0.29839067478723835,0.0828056306215464,0.7479052823315119,2.50646332317453,1.0,0.04976878948529951,2.7831179157644956,0.6758605366708212,0.253770086526576,0.6406907539433845,0.5127063583866265
"frozenset({'Home_0', 'Neutral_Venue'})",frozenset({'Away Win'}),0.08478199491792038,0.28576614366958414,0.06037994595248659,0.7121788772597526,2.492173733789844,1.0,0.0361521222121782,2.4815199438124527,0.6542090100315803,0.19466840052015605,0.5970211714423451,0.4617351690462489
"frozenset({'Home_0', 'Draw'})","frozenset({'Home_Venue', 'Away_0'})",0.08700036300568709,0.29839067478723835,0.0625983140402533,0.7195178488641633,2.4113282004446064,1.0,0.03663821701625164,2.5014401892296316,0.6410635576392316,0.19392727727102338,0.6002302976078873,0.4646521388143471
"frozenset({'Neutral_Venue', 'Away Win'})",frozenset({'Home_0'}),0.0985762110273061,0.2620094381478643,0.06037994595248659,0.6125204582651391,2.33778012958245,1.0,0.03455204828647681,1.9045923264695033,0.6348221373018831,0.20112857718661828,0.474953255821588,0.42148498282715086
frozenset({'Away Win'}),frozenset({'Home_0'}),0.28576614366958414,0.2620094381478643,0.17500907514217723,0.6124206069160198,2.3373990312913917,1.0,0.10013564839762762,1.9041016499353176,0.8011018075978177,0.4694871239991344,0.4748179541601837,0.6401850571525912
frozenset({'Home_0'}),frozenset({'Away Win'}),0.2620094381478643,0.28576614366958414,0.17500907514217723,0.6679495073891626,2.3373990312913917,1.0,0.10013564839762762,2.1509796619018924,0.7753134835733811,0.4694871239991344,0.53509555775353,0.6401850571525912
"frozenset({'Home_Venue', 'Away Win'})",frozenset({'Home_0'}),0.18718993264227807,0.2620094381478643,0.11462912918969063,0.61236802413273,2.3371983408748114,1.0,0.06558360011115079,1.903843356062124,0.7039003572846367,0.3426160337552743,0.4747467028651022,0.524934012066365
"frozenset({'Home_0', 'Home_Venue'})",frozenset({'Away Win'}),0.17722744322994394,0.28576614366958414,0.11462912918969063,0.6467910787437414,2.2633579696956363,1.0,0.06398352618544942,2.022128585512788,0.6784117793027,0.3290494384624291,0.5054716069174149,0.523960112413508
"frozenset({'Home_3+', 'Away_0'})","frozenset({'Home Win', 'Home_Venue'})",0.11265276489331666,0.36453837776791836,0.08845238575404347,0.7851772287862513,2.1538945600019392,1.0,0.047386129588763114,2.9580738514903397,0.6037374082825518,0.22753683336791863,0.6619421792000969,0.5139097031295717
"frozenset({'Home_2', 'Away_0'})","frozenset({'Home Win', 'Home_Venue'})",0.0831686363086355,0.36453837776791836,0.06453434437139516,0.775945683802134,2.1285706282923553,1.0,0.03421618461027518,2.83619451307912,0.5782973692314461,0.16842105263157894,0.6474148739134439,0.47648800012191234
frozenset({'Away_2'}),frozenset({'Away Win'}),0.16920098414875168,0.28576614366958414,0.10216593393296496,0.6038140643623361,2.1129657159824133,1.0,0.05381402118767776,1.8027743846607065,0.6340059922490453,0.2895850005716246,0.44529941821410657,0.4806649714895661
"frozenset({'Home_3+', 'Away_0'})",frozenset({'Home Win'}),0.11265276489331666,0.48162787883676844,0.11265276489331666,1.0,2.0762917678586383,1.0,0.058396052692651385,inf,0.5841818181818182,0.23390000837450797,1.0,0.616950004187254
"frozenset({'Home_2', 'Away_0'})",frozenset({'Home Win'}),0.0831686363086355,0.48162787883676844,0.0831686363086355,1.0,2.0762917678586383,1.0,0.04311230241756074,inf,0.5653952751748713,0.1726823549116489,1.0,0.5863411774558245
"frozenset({'Home_2', 'Home_Venue', 'Away_1'})",frozenset({'Home Win'}),0.05594320977695317,0.48162787883676844,0.05594320977695317,1.0,2.0762917678586383,1.0,0.02899940031675885,inf,0.5490899769289926,0.11615442592747675,1.0,0.5580772129637384
"frozenset({'Home_3+', 'Home_Venue', 'Away_0'})",frozenset({'Home Win'}),0.08845238575404347,0.48162787883676844,0.08845238575404347,1.0,2.0762917678586383,1.0,0.04585125082527192,inf,0.5686725663716814,0.18365296038857715,1.0,0.5918264801942886
"frozenset({'Home_2', 'Home_Venue', 'Away_0'})",frozenset({'Home Win'}),0.06453434437139516,0.48162787883676844,0.06453434437139516,1.0,2.0762917678586383,1.0,0.03345280497967856,inf,0.5541327124563447,0.13399212796248222,1.0,0.5669960639812411
"frozenset({'Home_1', 'Home_Venue', 'Away_0'})",frozenset({'Home Win'}),0.0828056306215464,0.48162787883676844,0.0828056306215464,1.0,2.0762917678586383,1.0,0.04292413038955005,inf,0.5651715039577837,0.17192864919186,1.0,0.58596432459593
"frozenset({'Home_3+', 'Away_1'})",frozenset({'Home Win'}),0.06651070866776913,0.48162787883676844,0.06651070866776913,1.0,2.0762917678586383,1.0,0.034477297132181214,inf,0.5553059108192188,0.13809563688133322,1.0,0.5690478184406667
"frozenset({'Home_2', 'Away_1'})",frozenset({'Home Win'}),0.07562618481022869,0.48162787883676844,0.07562618481022869,1.0,2.0762917678586383,1.0,0.03920250583556081,inf,0.5607819181429444,0.15702202495603382,1.0,0.578511012478017
"frozenset({'Home_1', 'Away_0'})",frozenset({'Home Win'}),0.1107167345621748,0.48162787883676844,0.1107167345621748,1.0,2.0762917678586383,1.0,0.05739246854326102,inf,0.5829100145137881,0.2298802445356335,1.0,0.6149401222678168
"frozenset({'Home_1', 'Away_0'})","frozenset({'Home Win', 'Home_Venue'})",0.1107167345621748,0.36453837776791836,0.0828056306215464,0.7479052823315119,2.0516503280421747,1.0,0.04244513181248998,2.520725654663388,0.5764052102237018,0.21099691675231244,0.6032888394062312,0.4875286535578781
"frozenset({'Home_2', 'Away_1'})","frozenset({'Home Win', 'Home_Venue'})",0.07562618481022869,0.36453837776791836,0.05594320977695317,0.7397333333333334,2.029233075164122,1.0,0.028374563049455615,2.441578978863019,0.5486989978943141,0.14560151165231994,0.5904289770443245,0.44659824444936197
"frozenset({'Home_3+', 'Home_Venue'})",frozenset({'Home Win'}),0.16665994433912798,0.48162787883676844,0.16125519299802363,0.9675701839303,2.0089580077199507,1.0,0.08098711751891552,15.984429885421404,0.6026705574848311,0.3310973084886128,0.9374391199956372,0.6511915068382762
frozenset({'Home_3+'}),"frozenset({'Home Win', 'Home_Venue'})",0.2204654539587787,0.36453837776791836,0.16125519299802363,0.7314306622758873,2.0064572261347724,1.0,0.08088707405802274,2.3660989285562386,0.6434725874346081,0.38054445079002475,0.5773634027169833,0.5868925827422808
frozenset({'Home_3+'}),frozenset({'Home Win'}),0.2204654539587787,0.48162787883676844,0.21211632315572945,0.9621295279912184,1.997661618581884,1.0,0.10593401420877763,13.688029054484165,0.6406575858352324,0.43291076720447813,0.9269434630786088,0.701272451793951
"frozenset({'Home_3+', 'Neutral_Venue'})",frozenset({'Home Win'}),0.05380550961965071,0.48162787883676844,0.050861130157705804,0.9452773613193404,1.962671603650482,1.0,0.024946896689862094,9.472717940160978,0.5183822322638323,0.10496087897452971,0.8944336771856837,0.5254399535848858
"frozenset({'Home Win', 'Home_Venue'})",frozenset({'Away_0'}),0.36453837776791836,0.39353849876981406,0.23579236074698504,0.6468245186988272,1.6436117958491363,1.0,0.0923324748162151,1.717167621590984,0.6162194734132918,0.4514634334697661,0.4176456698656572,0.6229920482189432
"frozenset({'Home_Venue', 'Away_0'})",frozenset({'Home Win'}),0.29839067478723835,0.48162787883676844,0.23579236074698504,0.790213571235469,1.64071393280638,1.0,0.09207909298453543,2.4709516445654547,0.5565907049746797,0.43326169124731345,0.5952976246219253,0.6398936543891942
frozenset({'Away_0'}),frozenset({'Home Win'}),0.39353849876981406,0.48162787883676844,0.306538135764127,0.7789279491647023,1.6172816886056833,1.0,0.11699902336101523,2.3448107492766113,0.6293532626958458,0.5390835579514824,0.5735263494896098,0.7076952784932464
frozenset({'Home Win'}),frozenset({'Away_0'}),0.48162787883676844,0.39353849876981406,0.306538135764127,0.6364626078217904,1.617281688605683,1.0,0.11699902336101523,1.6682231712024072,0.7363021831539635,0.5390835579514824,0.4005598188165503,0.7076952784932464
"frozenset({'Home_2', 'Home_Venue'})",frozenset({'Home Win'}),0.16020650990198845,0.48162787883676844,0.12047755414834832,0.7520140986908359,1.5614006824254163,1.0,0.043317632608411885,2.0903290002643207,0.4281402591673408,0.23108463561813403,0.5216064074729143,0.5010803262903974
"frozenset({'Neutral_Venue', 'Away_0'})",frozenset({'Home Win'}),0.09514782398257572,0.48162787883676844,0.07074577501714194,0.7435353963543875,1.5437964225621246,1.0,0.024919930376479785,2.021222865824898,0.3892859063388169,0.13980551570221586,0.5052500063658831,0.4452121333166293
"frozenset({'Home Win', 'Neutral_Venue'})",frozenset({'Away_0'}),0.11708950106885008,0.39353849876981406,0.07074577501714194,0.6042025490871512,1.5353073485208302,1.0,0.02466654854480014,1.5322521654231764,0.39490369333971614,0.16082890152209794,0.3473659084542258,0.3919854602563972
